"Name","Product","Icon","Description","Low Min","Low Max","Medium Min","Medium Max","High Min","High Max","Very High Min","Very High Max"
"Data Analysts","Work IQ","DataUsage","Query large datasets daily
Build dashboards and reports
Heavy use of analytics tools","10","30","30","60","60","90","90","120"
"Business Users","Work IQ","Person","Occasional data exploration
Consume insights from reports
Ad-hoc queries for decision making","5","15","15","35","30","60","60","85"
"IT Administrators","Work IQ","Wrench","Monitor system health and usage
Configure data pipelines
Manage access and governance","10","20","25","45","45","75","75","100"
"Division","Copilot Studio","Organization","Handles high-volume conversations at scale
Ensures consistent, governed responses
Reduces enterprise-wide support load","2","5","5","9","9","20","20","45"
"Organization","Copilot Studio","Building","Streamlines processes across business units
Improves response speed and experience
Reduces duplicated effort across teams","3","6","6","10","10","20","20","35"
"Department","Copilot Studio","ConferenceRoom","Automates function-specific requests
Surfaces relevant, targeted insights
Frees time for higher-value work","7","20","20","30","30","60","60","130"
"Team","Copilot Studio","PeopleTeam","Assists with day-to-day team tasks
Simplifies repetitive work quickly
Provides easy access to team knowledge","25","60","60","110","110","225","225","750"
"Workflow","Copilot Studio","Flowchart","Automates niche, specialized tasks
Eliminates manual process steps
Delivers quick value with low overhead","425","1150","1150","2900","2900","6500","6500","22000"
"Corporate Knowledge Workers","Cowork","Globe","Juggle many shifting priorities
Heavy email and chat load
Create docs, decks, and spreadsheets","450","600","600","950","950","1150","1150","1500"
"Management & Senior Leaders","Cowork","Star","Need headlines, risks, recommendations
Decide more than create
Calendar packed with high-stakes meetings","625","850","850","1325","1325","1550","1550","2000"
"Customer Facing Knowledge Workers","Cowork","PeopleTeam","Balance external customers and internal teams
Organized by accounts, not projects
Anchored in relationship history","1150","1550","1550","2450","2450","2925","2925","3500"
"Technical Workers","Cowork","Wrench","Need deep focus blocks
Produce code, designs, or systems
Work mostly outside Office apps","300","415","415","640","640","750","750","1000"
